State,Region,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,Disp_Inc_2015,Disp_Inc_2016,Disp_Inc_2017,Disp_Inc_2018,Disp_Inc_2019,Disp_Inc_2020,mean disp income,St Dev disposable income,% annual change (16/17),% annual change (17/18),% annual change (18/19),% annual change (19/20),% annual change,Gas_Price_2016,Gas_Price_2017,Gas_Price_2018,Gas_Price_2019,Gas_Price_2020,mean gas price,St Dev disposable income,% annual change (16/17),% annual change (17/18),% annual change (18/19),% annual change (19/20)
Rhode Island,EastCoast,49378,49862,50073,50405,50061,50445,51031,51099,51375,52170,53375,53533,53911,54223,54485,55120,56087,56329,56236,56749,57477,64878,49930,50659,52613,54435,56350,58119,54435,2950,3.86%,3.46%,3.52%,3.14%,14.73%,2.31,2.64,2.89,2.73,2.35,2.58,0.25,14.29%,9.47%,-5.54%,-13.92%
South Carolina,EastCoast,38860,39238,39696,39965,40107,40373,40682,41093,41725,42079,42347,42727,43300,43685,44156,44468,45185,45242,45497,45789,45923,49036,39440,40564,42220,43902,45428,45106,43444,2043,4.08%,3.98%,3.48%,-0.71%,11.20%,2.26,2.53,2.83,2.65,2.23,2.5,0.26,11.95%,11.86%,-6.36%,-15.85%
South Dakota,Midwest,48025,48327,48848,49365,48405,48545,49006,48888,49575,49789,49789,50081,51737,52037,52417,54307,53459,53262,54424,54673,55111,58778,48641,48711,49809,52625,53955,54097,51839,2455,2.25%,5.65%,2.53%,0.26%,11.06%,2.21,2.46,2.67,2.49,2.09,2.38,0.23,11.31%,8.54%,-6.74%,-16.06%
Tennessee,Midwest,41995,42484,42856,43126,43212,43313,43743,44181,44695,45003,45281,45923,46477,46932,47572,47851,48331,48625,48761,48987,49490,51232,42615,43612,45226,47208,48676,47843,46513,2062,3.70%,4.38%,3.11%,-1.71%,9.70%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Texas,GulfCoast,47027,46580,46515,46117,45523,45504,45840,46362,47387,48066,48696,49428,50331,50885,51429,51837,52449,52621,52957,53188,53347,57231,46560,45807,48394,51121,52804,52525,50130,2982,5.65%,5.63%,3.29%,-0.53%,14.67%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Utah,RockyMontain,40257,40738,41093,41380,41866,42134,42488,42995,43271,43809,44498,45149,46246,46835,47313,47613,48607,48642,49024,49466,49860,53218,40867,42371,44182,47002,48935,48962,46290,2934,4.27%,6.38%,4.11%,0.06%,15.56%,2.02,2.29,2.53,2.36,1.9,2.22,0.26,13.37%,10.48%,-6.72%,-19.49%
Vermont,EastCoast,48852,49261,49615,49892,50165,50264,50578,50562,51131,51403,51926,52332,52785,53376,53792,54165,55136,55067,55356,55595,56286,63022,49405,50392,51698,53530,55289,56671,53516,2557,2.59%,3.54%,3.29%,2.50%,12.46%,2.21,2.5,2.87,2.74,2.35,2.53,0.27,13.12%,14.80%,-4.53%,-14.23%
Virginia,EastCoast,52014,52655,53061,53213,53255,53539,53886,54441,54911,55341,55817,56471,57182,57689,58252,58712,59137,59449,59761,60248,60959,63674,52736,53780,55635,57959,59649,59201,57245,2486,3.45%,4.18%,2.92%,-0.75%,10.08%,2.26,2.53,2.83,2.65,2.23,2.5,0.26,11.95%,11.86%,-6.36%,-15.85%
Washington,EastCoast,53244,53724,54157,54234,55137,55456,55861,56721,57371,57977,58752,59708,61227,61762,62807,63042,64143,64551,64909,65406,66015,70958,53840,55794,58452,62210,64752,65062,61254,4041,4.76%,6.43%,4.09%,0.48%,16.61%,2.21,2.46,2.67,2.49,2.09,2.38,0.23,11.31%,8.54%,-6.74%,-16.06%
West Virginia,EastCoast,36936,37173,37122,37031,36939,37032,37073,37361,38433,38601,39095,39544,40236,40827,41660,42021,42248,42320,42362,42310,42863,49021,37066,37101,38918,41186,42310,43645,40632,2627,4.90%,5.83%,2.73%,3.16%,17.64%,2.4,2.7,3.11,3.09,2.63,2.79,0.31,12.50%,15.19%,-0.64%,-14.89%
Wisconsin,Midwest,46294,46727,47075,47307,47274,47393,47809,47866,48488,48891,49649,50003,51015,51265,51909,52310,52854,53156,53227,53643,53837,57492,46851,47586,49258,51625,53220,52881,50914,2424,3.51%,4.81%,3.09%,-0.64%,11.13%,2.21,2.46,2.67,2.49,2.09,2.38,0.23,11.31%,8.54%,-6.74%,-16.06%
Wyoming,RockyMontain,57661,56968,56856,55984,54669,53999,53901,54255,55117,56263,56815,57684,59598,60347,61097,61556,61989,61912,62365,62467,62558,66539,56867,54206,56470,60650,62183,61321,58966,3450,4.18%,7.40%,2.53%,-1.39%,13.13%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
New England,EastCoast,59683,60365,60755,61407,61608,62106,62620,62777,63449,64168,64981,65577,66653,67188,67956,68238,69555,69625,69706,70079,70827,78469,60553,62278,64544,67509,69741,70916,66998,3586,3.64%,4.59%,3.31%,1.68%,13.87%,2.21,2.5,2.87,2.74,2.35,2.53,0.27,13.12%,14.80%,-4.53%,-14.23%
Mideast,Midwest,56278,56861,57383,57532,58269,58527,58978,59596,60509,61180,61948,63018,63355,64022,64832,65148,66157,66708,67008,67498,68203,73464,57014,58843,61664,64339,66843,67292,63796,3566,4.79%,4.34%,3.89%,0.67%,14.36%,2.255,2.532,2.826,2.647,2.229,,,,,,
Great Lakes,Midwest,45705,46127,46488,46772,46765,46967,47192,47613,48064,48459,48947,49478,50311,50708,51231,51621,52074,52246,52582,52930,53288,58167,46273,47134,48737,50968,52458,52941,50448,2472,3.40%,4.58%,2.92%,0.92%,12.32%,2.143,2.405,2.667,2.541,2.085,,,,,,
Plains,RockyMontain,47584,47714,48027,48146,47953,48079,48425,48637,49160,49422,49584,50251,50996,51669,52034,52799,53092,53108,53783,54029,54516,58606,47868,48274,49604,51875,53503,53733,51398,2403,2.76%,4.58%,3.14%,0.43%,11.31%,2.143,2.405,2.667,2.541,2.085,,,,,,
Southeast,EastCoast,42558,42906,43203,43374,43420,43622,43940,44354,45000,45414,45807,46402,47037,47489,47996,48321,48808,49028,49226,49530,50055,53094,43010,43834,45656,47711,49148,48996,47069,2286,4.16%,4.50%,3.01%,-0.31%,11.78%,2.206,2.455,2.671,2.488,2.093,,,,,,
Southwest,GulfCoast,45032,44746,44716,44467,43938,44002,44295,44699,45619,46225,46815,47445,48298,48791,49320,49706,50315,50485,50804,51042,51271,55167,44740,44234,46526,49029,50662,50558,48202,2777,5.18%,5.38%,3.33%,-0.21%,14.30%,2.212,2.498,2.867,2.736,2.348,,,,,,
Rocky Mountain,RockyMontain,46859,47051,47170,47147,47061,47276,47679,48180,48920,49629,50290,51091,52050,52679,53260,53737,54481,54604,55074,55308,55834,59475,47057,47549,49983,52932,54867,54772,52021,3188,5.12%,5.90%,3.66%,-0.17%,15.19%,2.212,2.498,2.867,2.736,2.348,,,,,,
Far West,WestCoast,53162,53893,54394,54768,55381,55710,56279,56815,57465,58092,58774,59663,60493,61280,62088,62601,63487,64045,64277,65098,65766,70477,54054,56046,58499,61616,64227,64715,61021,3721,4.38%,5.33%,4.24%,0.76%,15.47%,2.646,2.948,3.378,3.427,2.915,,,,,,
USA all states,,,,,,,,,,,,,,,,,,,,,,,,48413,49156,50962,53342,55086,55397,52789,2689,3.67%,4.67%,3.27%,0.56%,,2.22,2.5,2.78,2.65,2.23,2.48,0.25,12.63%,11.43%,-4.70%,-16.13%
